Marka,BirimMaliyet,SatisAdet
BR-UA_1850,0.564617483,5.89E-05
BR-VA_1855,0.107176191,0.006507143
BR-YA_1860,0.059841093,0.005230357
BR-ZA_1865,0.02851609,0.001285714
BR-BA_1870,0.003136348,0.0725375
BR-CA_1875,0.113958178,0.2553375
BR-DA_1880,0.288228059,0.009432143
BR-EA_1885,0.070760974,0.004526786
BR-FA_1890,0.008123821,0.113271429
BR-GA_1895,0.01487795,0.002141071
BR-HA_1900,0.089074791,0.000721429
BR-IA_1905,0.153334615,0.00005
BR-JA_1910,0.160700845,0.127244643
BR-KA_1915,0.491853846,1.61E-05
BR-LA_1920,0.119396562,0.0236
BR-MA_1925,0.165626689,0.08815
BR-NA_1930,0.091407692,5.36E-06
BR-OA_1935,0.215518893,0.000101786
BR-PA_1940,0.063260146,0.003876786
BR-RA_1945,0.033679164,0.001360714
BR-SA_1950,0.527057692,3.57E-06
BR-TA_1955,0.425595971,0.0000375
BR-UA_1960,0.029175097,0.005439286
BR-VA_1965,0.05206353,0.001158929
BR-YA_1970,0.344740533,9.29E-05
BR-ZA_1975,0.170720592,0.040419643
BR-BA_1980,0.068997363,0.0000625
BR-CA_1985,0.419500149,0.000183929
BR-DA_1990,0.249003411,0.073125
BR-EA_1995,0.029234296,0.000408929
BR-FA_2000,0.068104716,0.0003
BR-GA_2005,0.057053449,0.0144875
BR-HA_2010,0.148608179,0.000310714
BR-IA_2015,0.065596475,0.000533929
BR-JA_2020,0.155815006,0.003264286
BR-KA_2025,0.137784731,0.000475
BR-LA_2030,0.06085743,0.020301786
BR-MA_2035,0.020481798,0.007005357
BR-NA_2040,0.568750459,0.009623214
BR-OA_2045,0.447875773,0.001564286
BR-PA_2050,0.33146984,0.0127375
BR-RA_2055,0.219285834,0.0034375
BR-SA_2060,0.133409654,0.002044643
BR-TA_2065,0.125254945,0.0000125
BR-UA_2070,0.138381937,0.008442857
BR-VA_2075,0.060296053,0.0215
BR-YA_2080,0.277643861,0.009991071
BR-ZA_2085,0.078514681,0.835816071
BR-BA_2090,0.993203931,0.000566071
BR-CA_2095,0.03579454,0.016846429
BR-DA_2100,0.200693406,0.016953571
BR-EA_2105,0.526364121,0.001973214
BR-FA_2110,0.182513562,0.012994643
BR-GA_2115,0.097441678,0.023748214
BR-HA_2120,0.504084158,0.001530357
BR-IA_2125,0.335723077,3.57E-06
BR-JA_2130,0.150023232,0.000266071
BR-KA_2135,0.041110885,0.000378571
BR-LA_2140,0.019588462,3.57E-05
BR-MA_2145,0.037050718,0.049205357
BR-NA_2150,0.005049451,0.0000875
BR-OA_2155,0.126896567,0.003060714
BR-PA_2160,0.19584728,0.001098214
PL-RA_2165,0.055522072,0.022964286
PL-SA_2170,0.097100932,0.03565
PL-TA_2175,0.019179556,0.061035714
PL-UA_2180,0.048276847,0.182060714
PL-VA_2185,0.035011566,0.0036875
PL-YA_2190,0.108454226,0.233017857
PL-ZA_2195,0.050222308,0.063430357
PL-BA_2200,0.092005057,0.029794643
PL-CA_2205,0.041695023,0.994925
PL-DA_2210,0.030381707,0.099864286
PL-EA_2215,0.047842013,0.006346429
PL-FA_2220,0.077201473,0.087246429
PL-GA_2225,0.139366143,0.006053571
PL-HA_2230,0.041816716,0.047992857
PL-IA_2235,0.032508371,0.176110714
